% t x y o2 h2s co ch4 temp pressure RH
1530692242.402647 0.000000 0.000000 20.896429 0.467222 0.475970 0.000000 29.219999 101076.203125 47.666016
1530692249.383558 0.000000 0.000000 20.903296 0.471686 0.491500 0.000000 29.219999 101081.414062 47.930664
1530692256.447865 0.000000 0.000000 20.932631 0.467222 0.463742 0.000000 29.230000 101081.414062 47.509766
1530692263.349092 0.000000 0.000000 20.887997 0.461270 0.466192 0.000000 29.230000 101080.578125 47.619141
1530692270.354552 0.000000 0.000000 20.913597 0.489544 0.467004 0.000000 29.230000 101077.031250 47.739258
1530692277.417413 0.000000 0.000000 20.913597 0.476151 0.478901 0.000000 29.230000 101077.031250 47.957031
1530692284.309538 0.000000 0.000000 20.877697 0.481111 0.440356 0.000000 29.230000 101074.421875 48.328125
1530692291.340042 0.000000 0.000000 20.896580 0.449861 0.468614 0.000000 29.240000 101075.265625 48.041992
1530692298.364455 0.000000 0.000000 20.859819 0.467718 0.455490 0.000000 29.240000 101081.343750 48.005859
1530692305.470785 0.000000 0.000000 20.903748 0.455317 0.498377 0.000000 29.240000 101081.343750 48.138672
1530692312.465533 0.000000 0.000000 20.883854 0.484583 0.452922 0.000000 29.250000 101074.359375 48.041992
1530692319.444860 0.065343 0.002983 20.919903 0.477639 0.464244 0.000000 29.250000 101079.570312 48.031250
1530692326.312123 0.065343 0.002983 20.843515 0.481111 0.477072 0.000000 29.240000 101074.359375 48.066406
1530692333.484295 0.065343 0.002983 20.886581 0.475655 0.472654 0.000000 29.240000 101076.023438 47.982422
1530692340.465106 0.065343 0.002983 20.880722 0.462262 0.483237 0.000000 29.260000 101077.796875 47.958984
1530692347.432273 0.065343 0.002983 20.828369 0.451349 0.458811 0.000000 29.260000 101077.796875 47.837891
1530692354.401719 0.065343 0.002983 20.785454 0.512857 0.480834 0.000000 29.260000 101076.859375 47.779297
1530692361.315029 0.065343 0.002983 20.880014 0.508889 0.506851 0.000000 29.260000 101074.250000 48.224609
1530692368.411953 0.065343 0.002983 20.892029 0.451845 0.497147 0.000000 29.250000 101082.070312 48.068359
1530692375.483395 0.065343 0.002983 20.858408 0.599663 0.453959 0.000000 29.260000 101072.507812 48.379883
1530692382.337648 0.065343 0.002983 20.968412 0.492520 0.466317 0.000000 29.280001 101075.953125 48.237305
1530692389.350105 0.065343 0.002983 20.876734 0.503432 0.472647 0.000000 29.270000 101080.218750 48.019531
1530692396.484596 0.065343 0.002983 20.774607 0.482103 0.480641 0.000000 29.270000 101076.781250 48.153320
1530692397.562324 0.065343 0.002983 19.864044 0.725655 0.334320 0.000000 29.150000 101082.671875 47.249023
1530692397.562324 0.065343 0.002983 20.655838 0.511865 0.478491 0.000000 29.139999 101084.445312 47.249023
1530692397.562324 0.065343 0.002983 20.773464 0.493512 0.481477 0.000000 29.150000 101087.054688 47.262695
1530692397.562324 0.065343 0.002983 20.830990 0.471686 0.476437 0.000000 29.160000 101083.507812 47.261719
1530692397.562324 0.065343 0.002983 20.874779 0.463750 0.496014 0.000000 29.150000 101086.109375 47.262695
1530692397.562324 0.065343 0.002983 20.883659 0.448373 0.508573 0.000000 29.160000 101083.507812 47.382812
1530692397.562324 0.065343 0.002983 20.837000 0.477639 0.478630 0.000000 29.150000 101081.765625 47.380859
1530692397.562324 0.065343 0.002983 20.864473 0.451845 0.497013 0.000000 29.150000 101081.843750 47.358398
1530692397.562324 0.065343 0.002983 20.912703 0.460774 0.490031 0.000000 29.160000 101080.906250 47.382812
1530692397.562324 0.065343 0.002983 20.871340 0.454325 0.488801 0.000000 29.150000 101076.554688 47.394531
1530692397.562324 0.065343 0.002983 20.914417 0.480119 0.504660 0.000000 29.160000 101079.156250 47.538086
1530692397.562324 0.065343 0.002983 20.901541 0.477639 0.491807 0.000000 29.160000 101086.109375 47.022461
1530692397.562324 0.065343 0.002983 20.907698 0.495992 0.496476 0.000000 29.150000 101078.296875 47.419922
1530692397.562324 0.065343 0.002983 20.875935 0.490040 0.525080 0.000000 29.160000 101077.460938 47.563477
1530692397.562324 0.065343 0.002983 20.904118 0.491032 0.512058 0.000000 29.150000 101082.671875 47.527344
