% t x y o2 h2s co ch4 temp pressure RH
1530690617.308252 -3.208295 -0.177882 20.983437 0.436964 0.549180 0.000000 29.660000 101097.250000 42.773438
1530690624.409059 -3.597650 -0.199867 20.927721 0.429028 0.538837 0.000000 29.650000 101090.367188 42.686523
1530690631.292367 -3.597650 -0.199867 20.971289 0.437956 0.538176 0.000000 29.639999 101093.015625 43.059570
1530690638.297986 -3.597650 -0.199867 20.944571 0.437956 0.566996 0.000000 29.629999 101096.453125 42.782227
1530690645.369129 -3.597650 -0.199867 20.940989 0.440933 0.572931 0.000000 29.620001 101097.406250 42.648438
1530690652.394323 -3.597650 -0.199867 20.943562 0.444405 0.579881 0.000000 29.620001 101100.953125 42.828125
1530690659.352293 -3.597650 -0.199867 20.968275 0.464246 0.591825 0.000000 29.590000 101090.593750 42.898438
1530690666.442619 -3.624525 -0.201359 20.958698 0.437956 0.583900 0.000000 29.580000 101091.531250 42.838867
1530690673.299714 -3.624525 -0.201359 20.930260 0.436964 0.601981 0.000000 29.590000 101088.093750 42.681641
1530690680.300361 -3.624525 -0.201359 20.982262 0.431508 0.590483 0.000000 29.570000 101097.765625 42.619141
1530690687.465991 -3.624525 -0.201359 20.966681 0.419107 0.601324 0.000000 29.559999 101095.156250 42.545898
1530690694.368703 -3.624525 -0.201359 20.977829 0.427540 0.549446 0.000000 29.559999 101096.062500 43.328125
1530690701.396878 -3.624525 -0.201359 20.967243 0.424067 0.562565 0.000000 29.549999 101094.390625 43.110352
1530690708.383838 -4.538414 -0.245900 20.956953 0.413651 0.536282 0.000000 29.540001 101098.781250 43.133789
1530690715.326737 -4.763882 -0.255513 20.986107 0.414147 0.574515 0.000000 29.530001 101098.781250 43.169922
1530690722.407240 -5.278837 -0.272387 20.966948 0.424563 0.557891 0.000000 29.520000 101093.640625 42.842773
1530690729.307275 -5.459847 -0.276928 20.927504 0.411171 0.555062 0.000000 29.510000 101098.015625 43.758789
1530690736.461466 -5.591338 -0.279800 20.986670 0.409682 0.545679 0.000000 29.500000 101096.343750 42.915039
1530690743.333589 -5.642304 -0.280882 20.959795 0.414643 0.539096 0.000000 29.500000 101101.562500 43.311523
1530690750.404854 -5.819946 -0.284223 21.016394 0.430516 0.560755 0.000000 29.490000 101093.812500 43.575195
1530690757.270663 -5.899553 -0.285435 20.981085 0.433988 0.554602 0.000000 29.480000 101097.359375 43.406250
1530690764.438444 -6.232639 -0.289148 20.963076 0.421587 0.531049 0.000000 29.469999 101093.890625 43.345703
1530690771.398902 -6.602630 -0.291146 20.967218 0.418115 0.548203 0.000000 29.469999 101093.054688 43.454102
1530690778.438957 -7.012382 -0.288993 20.981647 0.423571 0.550942 0.000000 29.459999 101094.828125 43.464844
1530690785.459758 -7.036456 -0.288787 20.934185 0.427044 0.576484 0.000000 29.459999 101095.765625 43.524414
1530690792.340514 -7.335792 -0.279513 20.976212 0.418611 0.565729 0.000000 29.450001 101094.906250 43.656250
1530690799.295295 -7.441777 -0.274033 20.986357 0.422579 0.586349 0.000000 29.450001 101093.234375 43.571289
1530690806.336229 -7.626078 -0.265631 20.953760 0.441925 0.553282 0.000000 29.440001 101088.960938 43.787109
1530690813.476525 -7.886910 -0.250868 20.955330 0.431012 0.562285 0.000000 29.430000 101095.007812 43.666016
1530690820.332144 -7.902362 -0.249668 20.960476 0.420099 0.565548 0.000000 29.430000 101096.781250 44.063477
1530690827.436409 -7.902362 -0.249668 20.994638 0.419603 0.546527 0.000000 29.410000 101092.476562 43.507812
1530690834.372836 -7.902362 -0.249668 20.913858 0.415139 0.562210 0.000000 29.410000 101090.804688 43.483398
1530690841.401216 -7.902362 -0.249668 20.979910 0.423571 0.560626 0.000000 29.400000 101096.960938 43.964844
1530690848.473381 -7.902362 -0.249668 20.949739 0.429028 0.551668 0.000000 29.400000 101090.046875 43.904297
1530690855.260461 -7.902362 -0.249668 20.917850 0.423571 0.576311 0.000000 29.389999 101092.656250 43.517578
1530690862.299547 -7.902362 -0.249668 20.950451 0.425556 0.547944 0.000000 29.389999 101096.203125 43.385742
1530690869.337229 -7.902362 -0.249668 20.983761 0.418115 0.564462 0.000000 29.360001 101097.109375 43.757812
1530690876.336628 -8.157228 -0.224111 21.001776 0.421091 0.590982 0.000000 29.379999 101098.812500 43.637695
1530690883.433532 -8.234874 -0.215436 20.886515 0.419107 0.588278 0.000000 29.370001 101097.109375 44.034180
1530690890.442399 -8.234874 -0.215436 21.051245 0.442917 0.567126 0.000000 29.350000 101095.437500 44.249023
1530690897.334981 -8.634870 -0.148307 20.935417 0.435476 0.589513 0.000000 29.350000 101098.046875 44.105469
1530690904.471825 -9.461003 0.082458 20.984322 0.429524 0.571315 0.000000 29.350000 101095.437500 43.803711
1530690911.463201 -9.714305 0.158168 20.947134 0.434484 0.565390 0.000000 29.340000 101092.000000 44.116211
1530690918.429885 -10.021096 0.272596 21.023500 0.420595 0.570840 0.000000 29.350000 101094.609375 44.055664
1530690925.349892 -10.574671 0.495664 20.924826 0.423571 0.555768 0.000000 29.330000 101093.843750 44.151367
1530690932.450786 -10.574671 0.495664 20.977728 0.404722 0.567223 0.000000 29.330000 101097.281250 44.258789
1530690939.307980 -11.117751 0.762192 20.946989 0.418611 0.563745 0.000000 29.330000 101088.625000 44.269531
1530690946.444985 -11.915368 1.233132 20.899796 0.433492 0.583839 0.000000 29.320000 101092.171875 44.463867
1530690953.355689 -12.556235 1.611789 20.976871 0.431012 0.554676 0.000000 29.320000 101092.171875 44.559570
1530690960.328973 -13.119157 1.955030 20.990456 0.421587 0.584657 0.000000 29.320000 101090.476562 44.305664
1530690967.374471 -13.438025 2.157136 20.959562 0.421587 0.559143 0.000000 29.309999 101086.093750 44.388672
1530690974.418193 -13.438025 2.157136 20.966429 0.416131 0.564779 0.000000 29.309999 101093.078125 43.908203
1530690981.294720 -13.438025 2.157136 21.005756 0.433988 0.568891 0.000000 29.309999 101094.859375 44.292969
1530690988.439044 -13.438025 2.157136 20.973146 0.436964 0.597337 0.000000 29.299999 101087.109375 44.459961
1530690995.337568 -14.019221 2.541354 20.930239 0.432500 0.601911 0.000000 29.299999 101098.406250 44.640625
1530691002.382316 -15.048340 3.260690 20.902777 0.408690 0.572586 0.000000 29.290001 101101.843750 44.543945
1530691009.399318 -16.895716 4.803077 20.983295 0.413651 0.582275 0.000000 29.280001 101094.929688 44.567383
1530691016.283974 -18.450885 6.412754 20.949680 0.414643 0.582031 0.000000 29.280001 101088.875000 44.904297
1530691023.351866 -19.026736 7.072067 20.973711 0.416627 0.575747 0.000000 29.280001 101096.703125 45.060547
1530691030.307446 -19.052026 7.100317 20.965984 0.419107 0.566414 0.000000 29.280001 101092.421875 44.627930
1530691037.307615 -19.620904 7.749112 20.990873 0.417619 0.549396 0.000000 29.280001 101089.820312 44.518555
1530691044.460901 -20.267496 8.529529 20.912624 0.416131 0.578460 0.000000 29.280001 101094.203125 44.759766
1530691051.358349 -20.535677 8.900133 20.939232 0.417619 0.558068 0.000000 29.260000 101087.281250 44.432617
1530691058.356709 -21.172757 9.786856 20.968412 0.421587 0.572070 0.000000 29.270000 101086.453125 44.732422
1530691065.322712 -21.623894 10.448304 20.989866 0.416627 0.557066 0.000000 29.260000 101093.367188 45.130859
1530691072.439088 -21.900167 10.881187 20.935652 0.404226 0.556220 0.000000 29.270000 101085.546875 44.264648
1530691079.313429 -21.900167 10.881187 20.935652 0.449365 0.568743 0.000000 29.250000 101089.054688 45.334961
1530691086.292135 -22.153702 11.297683 20.933077 0.415139 0.583517 0.000000 29.260000 101086.453125 44.924805
1530691093.342892 -22.460398 11.839473 20.928637 0.427540 0.590726 0.000000 29.250000 101087.390625 44.972656
1530691100.355378 -22.616405 12.124401 20.906170 0.423075 0.569223 0.000000 29.240000 101090.000000 44.960938
1530691107.358749 -22.989786 12.828640 20.961252 0.433492 0.580684 0.000000 29.240000 101091.765625 45.020508
1530691114.363601 -23.581822 14.143504 20.945654 0.411171 0.554435 0.000000 29.240000 101083.953125 45.043945
1530691121.414241 -23.646832 14.310247 20.883854 0.420595 0.573937 0.000000 29.250000 101086.562500 45.092773
1530691128.326301 -23.646832 14.310247 20.949799 0.437460 0.581549 0.000000 29.240000 101084.859375 44.827148
1530691135.455225 -23.646832 14.310247 20.952522 0.426548 0.569394 0.000000 29.230000 101087.468750 44.790039
